chr	1854	1908	E=-17.299999	-3.055114	+
chr	1854	2082	E=-64.600014	-3.255900	+
chr	1878	2081	E=-61.000011	-3.701102	+
chr	1879	1904	E=-11.400000	-4.101538	+
chr	1879	1922	E=-15.900000	-3.664708	+
chr	1879	1943	E=-21.900002	-3.533111	+
chr	1879	2123	E=-69.100021	-3.000635	+
chr	1882	2025	E=-41.000000	-3.125473	+
chr	1883	2050	E=-47.200001	-3.026288	+
chr	1883	2061	E=-50.299999	-3.077623	+
chr	1888	2082	E=-58.000011	-3.559789	+
chr	1893	1927	E=-12.900000	-3.597262	+
chr	1893	1943	E=-18.600000	-3.855234	+
chr	1893	1969	E=-22.900000	-3.027364	+
chr	2015	2081	E=-20.399998	-3.110379	+
chr	2143	2192	E=-18.600000	-3.277342	+
chr	2157	2192	E=-7.200000	-3.554698	+
