chr	1811	2026	E=-63.299999	-3.378278	+
chr	1812	2046	E=-67.700012	-3.334100	+
chr	1816	2056	E=-68.800011	-3.296034	+
chr	1823	2047	E=-65.300003	-3.330541	+
chr	1838	2048	E=-62.900005	-3.565684	+
chr	1839	1860	E=-8.599999	-3.550156	+
chr	1839	2020	E=-53.899994	-3.371312	+
chr	1879	2051	E=-54.300007	-3.856472	+
chr	1885	2046	E=-51.400009	-3.935271	+
chr	1886	2080	E=-55.800007	-3.018128	+
chr	1898	2034	E=-45.300007	-4.111472	+
chr	1902	2063	E=-47.900005	-3.382547	+
chr	1934	2054	E=-37.299999	-3.407251	+
chr	1935	2027	E=-31.899998	-3.974108	+
