chr	1841	1895	E=-17.299999	-3.078548	+
chr	1841	2069	E=-66.300011	-3.515581	+
chr	1853	2096	E=-68.522003	-3.126328	+
chr	1864	2051	E=-53.884495	-3.247576	+
chr	1865	2069	E=-62.700012	-3.993073	+
chr	1866	1891	E=-11.400000	-4.135337	+
chr	1866	1909	E=-17.400000	-4.175615	+
chr	1866	1928	E=-21.299999	-3.538023	+
chr	1866	1945	E=-25.099998	-3.077526	+
chr	1866	2024	E=-45.099998	-3.043811	+
chr	1866	2109	E=-70.800018	-3.266859	+
chr	1875	2069	E=-59.700012	-3.863118	+
chr	1877	2121	E=-70.384506	-3.182619	+
chr	2002	2068	E=-22.399998	-3.418309	+
chr	2130	2192	E=-16.299999	-3.538023	+
