chr	1825	2055	E=-65.826172	-3.418617	+
chr	1828	1882	E=-17.299999	-3.097075	+
chr	1828	2041	E=-62.726170	-3.664471	+
chr	1829	2072	E=-68.626167	-3.243630	+
chr	1849	2074	E=-65.526169	-3.458044	+
chr	1852	1998	E=-41.526169	-3.055931	+
chr	1853	1878	E=-11.400000	-4.160174	+
chr	1853	1896	E=-17.400000	-4.208694	+
chr	1853	1915	E=-21.299999	-3.531294	+
chr	1853	2035	E=-56.726166	-3.991749	+
chr	1853	2097	E=-72.126190	-3.581286	+
chr	1863	2055	E=-58.226177	-3.686011	+
chr	1868	2097	E=-64.626183	-3.101227	+
chr	1876	2035	E=-45.326168	-3.058036	+
chr	1883	2041	E=-45.426170	-3.035472	+
chr	1974	2035	E=-19.599998	-3.215207	+
chr	1989	2076	E=-27.500000	-3.444056	+
chr	2001	2035	E=-15.199999	-4.787069	+
chr	2001	2052	E=-18.000000	-3.728536	+
chr	2001	2117	E=-33.984489	-3.033462	+
chr	2002	2098	E=-30.099998	-3.412157	+
chr	2117	2166	E=-12.799999	-3.729840	+
